location_id,location_address,rate,reviewAvg,totalReview,serviceFee,occupancyTax
0,"0630 Stoltenberg View, Demarioshire, Wisconsin",48,1.59,346,6,4
1,"0632 Efren Courts, Brigittemouth, Oregon",87,2.86,303,7,6
2,"993 Muller Dale, East Guy, New Hampshire",22,4.98,100,9,1
3,"7900 Windler Cliffs, Stantonchester, West Virginia",56,3.33,407,5,6
4,"881 Gorczany Mountain, Port Reymundo, Missouri",73,2.98,448,9,6
5,"6352 Hettinger Green, Fritschfort, Louisiana",98,4.44,422,8,6
6,"5562 Shanelle Cape, East Chesterville, South Dakota",23,4.62,197,8,7
7,"753 Streich Expressway, Violaside, Louisiana",33,3.70,124,9,6
8,"8651 Larry Fields, Angelbury, South Dakota",62,3.75,391,7,3
9,"7953 Mekhi Stream, Skilesfort, Idaho",54,0.95,68,7,4
10,"2587 Kuhic Bridge, Greenhaven, Virginia",35,4.93,269,8,3
11,"355 King Port, Phoebeview, Maryland",78,3.08,250,9,6
12,"4640 Eldon Rue, Rutherfordchester, Illinois",29,4.59,171,9,7
13,"091 Anika Fall, Raymundoburgh, Alaska",58,4.53,224,5,2
14,"4016 Zieme Forges, Zionshire, Alabama",74,3.29,393,6,7
15,"3725 Dimitri Path, Lavernetown, Hawaii",70,4.51,301,8,7
16,"8920 Stroman Hollow, Lake Iva, Nebraska",94,1.37,231,9,7
17,"1149 Schneider Burgs, South Wellington, Indiana",80,2.99,492,6,7
18,"32778 Wisoky Squares, Mattport, Arizona",82,3.61,223,7,4
19,"8977 Bernier Station, North Melany, Rhode Island",83,1.14,447,8,4
20,"33177 Maggio Tunnel, South Ledahaven, Wyoming",41,3.97,496,6,3
21,"7324 Amya Motorway, North Samirview, New Mexico",61,0.90,297,5,4
22,"0712 Rohan Loop, New Kirk, Kansas",98,2.15,252,8,6
23,"61587 Watsica Villages, Leonfort, Delaware",41,0.66,127,9,7
24,"814 Dach Port, East Declan, Ohio",79,2.03,379,5,2
25,"7855 Connelly Summit, West Thelma, Maine",35,0.44,438,6,5
26,"335 Hintz Estates, New Loy, Tennessee",70,4.43,382,8,5
27,"699 Leland Station, Port Carolynbury, Kansas",74,3.63,200,5,5
28,"771 Lelia Street, Port Kade, New Jersey",55,4.67,260,8,2
29,"776 Alba Dam, Lake Cletushaven, Maine",27,1.80,316,9,7
30,"5731 Maynard Forge, Ethelberg, Alabama",55,2.77,317,9,7
31,"771 Ziemann Road, North Flavie, California",21,1.17,404,7,1
32,"7275 Pagac Pines, Langworthview, Maryland",82,1.98,73,9,6
33,"12127 Grant Stravenue, Lake Leonardo, Maine",68,3.57,183,8,7
34,"65150 Jolie Radial, West Nyasia, Alaska",54,4.68,65,7,4
35,"468 Damon Plains, Reingerbury, New Hampshire",97,0.58,462,6,7
36,"229 Batz Skyway, Lake Tessie, Illinois",45,4.34,325,8,4
37,"11988 Little Fords, Lake Veda, Idaho",88,3.11,190,7,6
38,"2316 Elyssa Square, Port Kathryneville, Nevada",92,0.56,448,9,5
39,"323 Irma Village, Port Lynnton, West Virginia",91,0.70,432,6,5
40,"2042 Junior Crossing, West Lowell, Utah",51,0.62,60,8,2
41,"965 Dayana Gardens, Hartmannville, Rhode Island",49,0.60,223,8,1
42,"167 Farrell Dale, Maximusshire, West Virginia",41,0.97,79,6,4
43,"951 Feil Street, West Conor, Alabama",28,0.04,109,6,4
44,"456 Mara Crossing, Brennonland, Missouri",45,0.96,285,5,1
45,"29797 Lesch Estates, Welchmouth, Michigan",86,0.85,201,5,4
46,"189 Collier Highway, New Serenityborough, Iowa",73,3.47,379,9,7
47,"52186 Rippin Fork, Paigefort, Arkansas",26,3.14,290,9,5
48,"7655 Samir Hills, Gibsonmouth, Utah",44,3.94,252,5,4
49,"5013 Bruen Plain, New Gabriella, West Virginia",86,3.28,94,5,3
50,"805 Chyna Cliffs, New Arnoldmouth, Pennsylvania",96,3.83,475,6,1
51,"23644 Hegmann Run, Rhiannonburgh, New Hampshire",45,2.86,466,8,4
52,"35105 Dare Mountains, South Omer, South Dakota",50,4.21,62,5,4
53,"105 Zachery Ports, Wayneberg, Wyoming",78,4.27,464,5,4
54,"10740 Cassin Keys, South Josefachester, Connecticut",64,1.96,188,9,2
55,"22608 Pollich Road, Lake Ray, Georgia",77,2.04,483,8,3
56,"713 Harold Vista, Handchester, Rhode Island",93,2.07,100,6,6
57,"644 Carmelo Via, Antwanchester, Louisiana",85,4.27,103,7,6
58,"57392 Ondricka Glen, North Earnestineberg, Tennessee",37,0.97,228,8,5
59,"4758 Littel Roads, West Dorothea, Vermont",51,0.55,375,9,1
60,"4234 Rollin Drive, East Polly, Alaska",42,2.17,80,7,7
61,"21709 Langosh Overpass, New Kaitlynchester, Tennessee",78,0.08,94,6,2
62,"8721 Kuhic Shoals, East Quinn, New York",20,1.40,277,9,6
63,"44922 Cormier Valleys, Emilieport, Virginia",56,0.29,163,5,1
64,"689 Goyette Spurs, Crooksside, Idaho",40,3.06,389,7,3
65,"68320 Iva Greens, Port Lilyanville, Arkansas",93,1.74,110,7,4
66,"80654 Floyd Port, Hirtheview, New York",87,1.80,483,7,5
67,"18086 Jerde Course, South Johan, North Dakota",25,3.79,378,9,3
68,"942 Herzog Flats, West Saulshire, West Virginia",67,3.87,157,5,3
69,"558 Hilario Parkway, East Vicenta, Oregon",24,1.77,319,7,4
70,"197 Novella Lane, Lake Zanderborough, Hawaii",81,0.14,492,7,2
71,"986 Danial Spring, Lake Joyside, Oregon",20,3.05,380,5,2
72,"2440 Noemi Inlet, Stonehaven, Alaska",49,3.58,183,7,6
73,"52840 Conroy Squares, Abdullahmouth, Hawaii",74,1.31,476,9,7
74,"665 Leannon Courts, North Corrineshire, Connecticut",25,1.58,105,5,4
75,"44656 Rae Stravenue, Lueilwitzburgh, Wisconsin",40,4.16,260,6,7
76,"4212 Boyer Cove, North Garrisonfurt, Illinois",73,2.50,386,5,3
77,"75893 Edyth Crest, West Jacinthe, Oklahoma",85,2.68,361,7,7
78,"35253 Schmitt Grove, Port Hilarioborough, Maine",40,1.72,390,5,6
79,"66945 Kautzer Branch, North Jacquesfurt, Kansas",83,1.75,413,9,1
80,"91894 Noah Squares, Kaylinview, Missouri",80,4.26,386,7,7
81,"17474 Rolfson Lodge, Lizethland, Arizona",77,0.17,497,6,1
82,"8265 Verner Glen, Reubenburgh, New Hampshire",97,2.58,411,6,5
83,"69146 Ansley Route, Port Opalhaven, Idaho",23,2.02,92,9,2
84,"522 Kaitlin Valleys, Josefinaton, Maine",80,0.57,362,8,2
85,"6802 Keon Courts, Anabelleborough, Oregon",42,4.41,77,6,3
86,"8037 Botsford Ford, New Kelli, Mississippi",52,4.85,280,9,3
87,"18071 Wiegand Mall, Andreland, New York",58,1.40,202,5,2
88,"51375 Thompson Pike, South Mariaburgh, Delaware",86,0.34,289,7,1
89,"536 Izaiah Centers, Bellview, Virginia",56,0.85,475,5,1
90,"25640 Marshall Terrace, Kolemouth, Colorado",30,1.00,121,9,3
91,"517 Daugherty Cliffs, West Kirk, North Carolina",89,2.48,283,5,5
92,"047 Reilly Knolls, Dangelotown, Wyoming",55,4.18,86,7,7
93,"64514 Feest Ranch, Lake Kathlynbury, Missouri",32,3.82,317,9,6
94,"1311 Greenfelder Fork, Douglasview, Massachusetts",48,0.68,288,5,7
